Model,Band_Selection,N_Bands,OA,AA,Kappa
SVM,PCA Loadings,12,0.8985,0.904,0.89
SVM,Mutual Information,12,0.7764,0.7864,0.7579
SVM,K-Means Clustering,12,0.9446,0.9519,0.94
SVM,Laplacian Score,12,0.8646,0.8773,0.8534
SVM,Genetic Algorithm,12,0.9713,0.9744,0.9689
SVM,QPSO,12,0.9754,0.9779,0.9733
SVM,Quantum Amplitude (Qiskit),12,0.9046,0.9177,0.8967
Random Forest,PCA Loadings,12,0.8892,0.8989,0.88
Random Forest,Mutual Information,12,0.7426,0.7523,0.7212
Random Forest,K-Means,12,0.9231,0.9341,0.9167
Random Forest,Laplacian Score,12,0.8297,0.8414,0.8156
Random Forest,Genetic Algorithm,12,0.9292,0.9386,0.9234
Random Forest,QPSO,12,0.9395,0.9468,0.9345
Random Forest,Quantum (Qiskit),12,0.8677,0.8785,0.8567
XGBoost,PCA Loadings,12,0.8974,0.9049,0.8889
XGBoost,Mutual Information,12,0.7374,0.7454,0.7156
XGBoost,K-Means,12,0.9272,0.9367,0.9211
XGBoost,Laplacian Score,12,0.8451,0.857,0.8322
XGBoost,Genetic Algorithm,12,0.9323,0.9388,0.9267
XGBoost,QPSO,12,0.9374,0.9446,0.9322
XGBoost,Quantum (Qiskit),12,0.8749,0.8857,0.8645
LightGBM,PCA Loadings,12,0.8872,0.8961,0.8778
LightGBM,Mutual Information,12,0.7344,0.7464,0.7123
LightGBM,K-Means,12,0.9313,0.9425,0.9256
LightGBM,Laplacian Score,12,0.8256,0.8361,0.811
LightGBM,Genetic Algorithm,12,0.9374,0.9421,0.9322
LightGBM,QPSO,12,0.9395,0.9417,0.9345
LightGBM,Quantum (Qiskit),12,0.8738,0.8833,0.8634
KNN,PCA Loadings,12,0.8605,0.871,0.849
KNN,Mutual Information,12,0.7272,0.7376,0.7045
KNN,K-Means,12,0.9241,0.9356,0.9178
KNN,Laplacian Score,12,0.8236,0.8394,0.809
KNN,Genetic Algorithm,12,0.9323,0.9422,0.9267
KNN,QPSO,12,0.9426,0.9499,0.9378
KNN,Quantum (Qiskit),12,0.8472,0.8604,0.8345


Model,Band_Selection,N_Bands,OA,AA,Kappa
KNN,PCA Loadings,12,0.8605,0.871,0.849
KNN,Mutual Information,12,0.7272,0.7376,0.7045
KNN,K-Means,12,0.9241,0.9356,0.9178
KNN,Laplacian Score,12,0.8236,0.8394,0.809
KNN,Genetic Algorithm,12,0.9323,0.9422,0.9267
KNN,QPSO,12,0.9426,0.9499,0.9378
KNN,Quantum (Qiskit),12,0.8472,0.8604,0.8345


Model,Band_Selection,N_Bands,OA,AA,Kappa
LightGBM,PCA Loadings,12,0.8872,0.8961,0.8778
LightGBM,Mutual Information,12,0.7344,0.7464,0.7123
LightGBM,K-Means,12,0.9313,0.9425,0.9256
LightGBM,Laplacian Score,12,0.8256,0.8361,0.811
LightGBM,Genetic Algorithm,12,0.9374,0.9421,0.9322
LightGBM,QPSO,12,0.9395,0.9417,0.9345
LightGBM,Quantum (Qiskit),12,0.8738,0.8833,0.8634


Model,Band_Selection,N_Bands,OA,AA,Kappa
Random Forest,PCA Loadings,12,0.8892,0.8989,0.88
Random Forest,Mutual Information,12,0.7426,0.7523,0.7212
Random Forest,K-Means,12,0.9231,0.9341,0.9167
Random Forest,Laplacian Score,12,0.8297,0.8414,0.8156
Random Forest,Genetic Algorithm,12,0.9292,0.9386,0.9234
Random Forest,QPSO,12,0.9395,0.9468,0.9345
Random Forest,Quantum (Qiskit),12,0.8677,0.8785,0.8567


Model,Band_Selection,N_Bands,OA,AA,Kappa
XGBoost,PCA Loadings,12,0.8974,0.9049,0.8889
XGBoost,Mutual Information,12,0.7374,0.7454,0.7156
XGBoost,K-Means,12,0.9272,0.9367,0.9211
XGBoost,Laplacian Score,12,0.8451,0.857,0.8322
XGBoost,Genetic Algorithm,12,0.9323,0.9388,0.9267
XGBoost,QPSO,12,0.9374,0.9446,0.9322
XGBoost,Quantum (Qiskit),12,0.8749,0.8857,0.8645


0,1,2,3,4,5,6,7,8,9,10,11
1.0826923,1.1871691,1.2828966,0.93916756,0.5321448,0.6027472,0.776373,0.97599864,1.6466801,1.7079905,1.7602441,1.7826298
0.4289086,0.4439469,0.16654435,-0.39375046,-0.9503438,-0.9422987,-1.0182223,-0.7386748,0.22523853,0.939734,0.81318617,0.87085766
-0.09980345,-0.080520734,-0.40919122,-0.07873442,0.5014895,0.39229536,0.40582904,0.30620432,-0.06704924,-0.20371744,-0.10706833,-0.19633038
0.8098086,0.8216722,0.70503265,0.69187486,0.39848787,0.38796508,0.60442126,0.97957087,1.219017,1.5829256,1.2956496,1.2334944
1.2319255,1.1246678,1.0711195,1.0109953,0.76389855,0.77769077,0.96406686,1.1063852,1.6466801,1.7079905,1.7066371,1.7826298
-0.2078199,-0.25851363,-0.18890053,-0.23162495,-0.5027769,-0.5023417,-0.4636173,-0.2778563,0.18524125,0.20721042,0.13416344,0.114501074
0.44738507,0.47655627,0.36980772,0.415851,0.3555705,0.36717972,0.5402421,0.6134166,0.61598116,0.4484072,0.49154383,0.48749885
-0.74079573,-0.78433996,-0.71781105,-0.2275205,0.57015735,0.6538446,0.3646575,-0.029585883,-0.76853985,-0.9094414,-0.9111742,-0.9837701
-1.1046406,-1.0411389,-1.0413297,-0.5702415,-0.062567316,-0.1905611,-0.738498,-1.0423148,-1.2546606,-1.3025028,-1.4293759,-1.367129
-0.23766653,-0.28432938,-0.29957798,-0.29832217,-0.049079,0.056265183,0.069191046,0.15438429,-0.110123225,-0.19478422,-0.3572346,-0.17560828
0.5511377,0.5730257,0.5964836,0.6026032,0.46715567,0.44252667,0.490594,0.51875234,0.5698305,0.23401007,0.5451509,0.37352732
0.9192463,0.80129135,0.7284452,0.9668726,1.2274061,1.2886645,1.3551966,1.1867605,0.79443055,0.7164036,0.56301993,0.60147035
0.6563116,0.689876,0.38789922,0.32555324,0.21333006,0.2260124,0.373134,0.53839964,0.7975072,0.6985372,0.9472038,0.87085766
-0.26467064,-0.3237324,-0.6582155,-1.1961691,-1.6922011,-1.6706527,-1.5873586,-1.4156135,-0.3839507,0.15361114,0.25924656,0.15594527
-0.31441507,-0.3522656,0.012234439,0.3019527,0.7553151,0.84437716,0.6916081,0.36514622,-0.2393452,-0.10545208,-0.0802648,-0.20669143
-0.0514803,0.044481907,0.30595535,0.1028872,-0.19867669,-0.22000705,-0.25412676,-0.17068921,-0.05166567,0.1357447,0.13416344,0.20775053
2.9402907,2.9045968,2.7195752,2.339809,1.895691,1.9442698,1.8783175,1.8976356,2.185105,2.4941132,2.421398,2.259238
0.9675695,0.94123995,0.9817263,0.91146255,0.57874084,0.5377929,0.7485217,1.0760213,1.391313,1.2791963,1.2599117,1.2542164
-0.04579523,-0.0900318,-0.00479286,0.0054066693,-0.22933196,-0.24339058,-0.032526914,0.19367889,0.18524125,-0.123318516,0.009080301,0.13522317
0.8979273,0.8923259,0.6826843,0.1028872,-0.5665399,-0.60020614,-0.75060725,-0.5404157,0.5082962,1.0558658,1.2241735,1.0988008
1.0542669,1.0757537,0.87530565,0.3132399,-0.2918687,-0.34298715,-0.37643048,-0.2189144,0.7421264,1.4935933,1.5100778,1.4199932
1.656885,1.7320176,1.4840317,1.4019434,0.9895213,0.9803481,1.2885956,1.404667,1.9512748,1.9938533,2.0282795,2.041656
-0.69389385,-0.7286323,-0.73803097,-0.61539036,-0.375251,-0.1784363,-0.22869726,-0.258209,-0.55624664,-0.7129107,-0.6520734,-0.7765491
0.7685918,0.65319043,0.9721484,0.97610754,0.7332433,0.8010743,0.7025064,0.8241786,0.7544333,0.5466726,0.5808889,0.6429146
0.07501263,0.056710426,0.28892806,-0.17929329,-0.6854823,-0.69893664,-0.9128716,-0.7654666,-0.23626848,0.02854613,0.009080301,0.041973732
-0.18650086,-0.12264119,0.03671118,0.44355598,0.6510872,0.64864826,0.50512516,0.34728503,-0.2885726,-0.40024817,-0.24108598,-0.27921876
-0.4082188,-0.50036657,-0.39748496,-0.35065383,0.077220686,0.24852988,0.07766754,0.05257555,-0.2424219,-0.37344852,-0.3572346,-0.22741354
