Model,Band_Selection,N_Bands,OA,AA,Kappa
SVM,PCA Loadings,10,0.9005,0.906,0.8922
SVM,Mutual Information,10,0.761,0.77,0.7413
SVM,K-Means Clustering,10,0.9477,0.9545,0.9433
SVM,Laplacian Score,10,0.8615,0.8723,0.8501
SVM,Genetic Algorithm,10,0.9651,0.9689,0.9622
SVM,QPSO,10,0.9703,0.9739,0.9678
SVM,Quantum Amplitude (Qiskit),10,0.8944,0.9079,0.8856
Random Forest,PCA Loadings,10,0.8851,0.8945,0.8756
Random Forest,Mutual Information,10,0.7333,0.7414,0.7113
Random Forest,K-Means,10,0.9231,0.9337,0.9167
Random Forest,Laplacian Score,10,0.8328,0.8418,0.8189
Random Forest,Genetic Algorithm,10,0.9262,0.9355,0.92
Random Forest,QPSO,10,0.9292,0.9382,0.9234
Random Forest,Quantum (Qiskit),10,0.8697,0.8809,0.859
XGBoost,PCA Loadings,10,0.8913,0.8985,0.8822
XGBoost,Mutual Information,10,0.7292,0.735,0.7067
XGBoost,K-Means,10,0.9262,0.9368,0.92
XGBoost,Laplacian Score,10,0.839,0.8494,0.8256
XGBoost,Genetic Algorithm,10,0.9374,0.9451,0.9322
XGBoost,QPSO,10,0.9313,0.9371,0.9256
XGBoost,Quantum (Qiskit),10,0.8749,0.8851,0.8645
LightGBM,PCA Loadings,10,0.8903,0.8985,0.8811
LightGBM,Mutual Information,10,0.7159,0.7279,0.6923
LightGBM,K-Means,10,0.9262,0.9369,0.92
LightGBM,Laplacian Score,10,0.8154,0.8299,0.8
LightGBM,Genetic Algorithm,10,0.9385,0.9456,0.9333
LightGBM,QPSO,10,0.9344,0.9398,0.9289
LightGBM,Quantum (Qiskit),10,0.8728,0.8812,0.8623
KNN,PCA Loadings,10,0.8574,0.862,0.8455
KNN,Mutual Information,10,0.7169,0.731,0.6935
KNN,K-Means,10,0.9138,0.9266,0.9067
KNN,Laplacian Score,10,0.8246,0.8373,0.8101
KNN,Genetic Algorithm,10,0.9323,0.9412,0.9267
KNN,QPSO,10,0.9456,0.9522,0.9411
KNN,Quantum (Qiskit),10,0.8544,0.867,0.8423


Model,Band_Selection,N_Bands,OA,AA,Kappa
KNN,PCA Loadings,10,0.8574,0.862,0.8455
KNN,Mutual Information,10,0.7169,0.731,0.6935
KNN,K-Means,10,0.9138,0.9266,0.9067
KNN,Laplacian Score,10,0.8246,0.8373,0.8101
KNN,Genetic Algorithm,10,0.9323,0.9412,0.9267
KNN,QPSO,10,0.9456,0.9522,0.9411
KNN,Quantum (Qiskit),10,0.8544,0.867,0.8423


Model,Band_Selection,N_Bands,OA,AA,Kappa
LightGBM,PCA Loadings,10,0.8903,0.8985,0.8811
LightGBM,Mutual Information,10,0.7159,0.7279,0.6923
LightGBM,K-Means,10,0.9262,0.9369,0.92
LightGBM,Laplacian Score,10,0.8154,0.8299,0.8
LightGBM,Genetic Algorithm,10,0.9385,0.9456,0.9333
LightGBM,QPSO,10,0.9344,0.9398,0.9289
LightGBM,Quantum (Qiskit),10,0.8728,0.8812,0.8623


Model,Band_Selection,N_Bands,OA,AA,Kappa
Random Forest,PCA Loadings,10,0.8851,0.8945,0.8756
Random Forest,Mutual Information,10,0.7333,0.7414,0.7113
Random Forest,K-Means,10,0.9231,0.9337,0.9167
Random Forest,Laplacian Score,10,0.8328,0.8418,0.8189
Random Forest,Genetic Algorithm,10,0.9262,0.9355,0.92
Random Forest,QPSO,10,0.9292,0.9382,0.9234
Random Forest,Quantum (Qiskit),10,0.8697,0.8809,0.859


Model,Band_Selection,N_Bands,OA,AA,Kappa
XGBoost,PCA Loadings,10,0.8913,0.8985,0.8822
XGBoost,Mutual Information,10,0.7292,0.735,0.7067
XGBoost,K-Means,10,0.9262,0.9368,0.92
XGBoost,Laplacian Score,10,0.839,0.8494,0.8256
XGBoost,Genetic Algorithm,10,0.9374,0.9451,0.9322
XGBoost,QPSO,10,0.9313,0.9371,0.9256
XGBoost,Quantum (Qiskit),10,0.8749,0.8851,0.8645


0,1,2,3,4,5,6,7,8,9
1.0826923,1.1871691,1.2828966,0.93916756,0.73137677,0.78344893,0.97599864,1.5849624,1.7031846,1.5372671
0.4289086,0.4439469,0.16654435,-0.39375046,-0.9190869,-0.9735916,-0.7386748,0.0732152,1.0079134,0.9243606
-0.09980345,-0.080520734,-0.40919122,-0.07873442,0.17671278,0.44230098,0.30620432,0.018175859,-0.15087192,-0.21632677
0.8098086,0.8216722,0.70503265,0.69187486,0.14373733,0.65519786,0.97957087,1.364805,1.2152749,1.3499901
1.2319255,1.1246678,1.0711195,1.0109953,0.53183305,0.98352075,1.1063852,1.4418601,1.593405,1.3670152
-0.2078199,-0.25851363,-0.18890053,-0.23162495,-0.58679575,-0.45289195,-0.2778563,-0.040532764,0.019896436,0.48170575
0.44738507,0.47655627,0.36980772,0.415851,0.30015934,0.4884714,0.6134166,0.61627,0.33703765,0.34550428
-0.74079573,-0.78433996,-0.71781105,-0.2275205,0.6628893,0.35893774,-0.029585883,-0.62394977,-0.9071318,-0.8462586
-1.1046406,-1.0411389,-1.0413297,-0.5702415,-0.023676505,-0.7093943,-1.0423148,-1.2477288,-1.3828436,-1.3570142
-0.23766653,-0.28432938,-0.29957798,-0.29832217,0.101461105,0.06396012,0.15438429,-0.044202056,-0.1996629,-0.35252824
0.5511377,0.5730257,0.5964836,0.6026032,0.37794757,0.53848934,0.51875234,0.5318763,0.61758566,0.3625295
0.9192463,0.80129135,0.7284452,0.9668726,1.297878,1.3208212,1.1867605,0.75203365,0.6785744,0.60088205
0.6563116,0.689876,0.38789922,0.32555324,0.16318439,0.35252517,0.53839964,0.755703,0.83714503,0.7541087
-0.26467064,-0.3237324,-0.6582155,-1.1961691,-1.653002,-1.5738069,-1.4156135,-0.63862693,0.21506026,0.5838569
-0.31441507,-0.3522656,0.012234439,0.3019527,0.9579773,0.6654579,0.36514622,-0.040532764,-0.30944255,-0.3014527
-0.0514803,0.044481907,0.30595535,0.1028872,-0.12344838,-0.24512511,-0.17068921,0.06954591,0.10528062,-0.063100114
2.9402907,2.9045968,2.7195752,2.339809,2.0689964,1.8876913,1.8976356,2.1316864,2.3618627,2.2012494
0.9675695,0.94123995,0.9817263,0.91146255,0.36272812,0.76805884,1.0760213,1.3758129,1.4104388,1.1967634
-0.04579523,-0.0900318,-0.00479286,0.0054066693,-0.3593497,-0.04248832,0.19367889,0.18696316,0.068687394,-0.080125295
0.8979273,0.8923259,0.6826843,0.1028872,-0.44897527,-0.73119694,-0.5404157,0.26034895,1.166484,1.5713176
1.0542669,1.0757537,0.87530565,0.3132399,-0.27564278,-0.36696368,-0.2189144,0.59425426,1.544614,1.6394182
1.656885,1.7320176,1.4840317,1.4019434,0.7212305,1.3118436,1.404667,1.7390726,2.0691168,2.2182746
-0.69389385,-0.7286323,-0.73803097,-0.61539036,-0.23674867,-0.23486502,-0.258209,-0.5065325,-0.72416574,-0.795183
0.7685918,0.65319043,0.9721484,0.97610754,0.75082386,0.7116283,0.8241786,0.6052621,0.62978345,0.73708355
0.07501263,0.056710426,0.28892806,-0.17929329,-0.6062428,-0.88766336,-0.7654666,-0.3047216,-0.0044990433,-0.046074927
-0.18650086,-0.12264119,0.03671118,0.44355598,0.6290683,0.55644447,0.34728503,-0.033194188,-0.34603578,-0.1822764
-0.4082188,-0.50036657,-0.39748496,-0.35065383,0.2122248,0.08576281,0.05257555,-0.22766651,-0.4436177,-0.420629
-0.22061132,-0.05470497,0.06331634,-0.13824885,-0.3035451,-0.10020134,0.14545369,0.38143548,-0.0044990433,-0.14822604
-0.1793945,-0.1674791,-0.44537422,-0.34860158,-0.030440701,0.048569985,0.031142134,-0.14694215,-0.28504708,-0.1822764
-1.4628003,-1.5316383,-1.6277072,-2.0150056,-2.4503314,-2.4728475,-2.4622788,-2.1503742,-1.6999848,-1.7826438
-1.1273808,-1.1797287,-1.1009252,-1.4496186,-1.8051964,-1.9367577,-2.0157492,-1.5302641,-1.3828436,-1.5953667
0.17592272,0.14366879,-0.12611237,0.0023283367,0.13443656,0.48462385,0.5116079,0.28603396,0.080885135,0.3114539
-0.31157252,-0.291123,-0.42941114,-0.97350305,-1.391735,-1.481466,-1.2495046,-0.7010048,-0.06548774,-0.09715048
0.62788624,0.65998405,0.39322028,0.6498043,0.4438985,0.62954766,0.75451994,0.49518344,0.5931902,0.7030332
0.87660825,0.8760212,1.1605129,1.2706013,1.1904964,1.0540589,1.0813797,0.8694509,0.83714503,0.686008
-0.5276054,-0.67835945,-0.7082332,-0.74262816,-0.2697241,-0.2656453,-0.26713958,-0.52120966,-0.6265838,-0.76113266
-0.6597834,-0.68515307,-0.8146538,-0.5989726,-0.18009852,-0.07583362,-0.16175862,-0.6092726,-0.9071318,-0.47170454
-0.31015125,-0.3984622,-0.1995426,-0.21623328,-0.52169037,-0.15534933,-0.20105322,-0.040532764,-0.04109226,0.2603784
-0.5816136,-0.58189,-0.6539587,-0.6410432,-0.21730159,-0.16176188,-0.24392006,-0.411131,-0.49240866,-0.7100571
-1.5537615,-1.6987613,-1.8639611,-2.258194,-2.6786232,-2.5049102,-2.5372956,-2.187067,-1.7975668,-1.6634674
-0.04579523,-0.073727116,-0.29425696,-0.104387194,0.29424065,0.4217808,0.30977657,0.029183727,0.044291917,0.2603784
-0.6441494,-0.5288997,-0.2708444,0.16650607,0.8007098,0.3640678,-0.013510818,-0.52854824,-0.77295667,-1.067586
1.059952,0.96297956,1.2669336,1.184408,0.8108561,0.76805884,0.831323,0.85477376,0.84934276,1.0265117
-0.8345995,-0.67835945,-0.41876906,0.009511112,0.32721612,0.14860587,-0.12425014,-0.576249,-0.6997702,-0.795183
-1.7484753,-1.71099,-1.8756673,-2.3084733,-2.7860048,-2.6511164,-2.7426994,-2.3301692,-1.9073464,-1.7996689
1.3385206,1.3339113,1.1232657,1.0705097,0.4371343,0.99891084,1.0956686,1.452868,1.5324162,1.3840405
0.7941747,0.57438445,0.87636983,1.0161259,0.39401254,0.5449019,0.7473755,0.97586036,0.5200038,0.29442874
-0.8331782,-0.80064464,-0.9593859,-0.5887115,0.15726572,-0.0040129814,-0.27249795,-0.76338273,-0.9681205,-1.0165104
0.60940975,0.59340656,0.9721484,0.9607159,0.3407445,0.5795297,0.784884,0.9098131,0.61758566,0.7030332
0.65062654,0.6178636,0.56987846,0.076208316,-0.46165812,-0.6196184,-0.49933496,0.106238805,0.6541789,0.78815913
-0.10975233,-0.13758716,0.07502261,0.043372773,-0.39486173,-0.09635381,-0.06352212,0.13926241,-0.06548774,0.056076176
-0.9838327,-0.89847285,-0.6422524,-0.21007662,0.22913527,-0.3695287,-0.6547272,-0.9615243,-1.1266911,-0.9313845
-0.43806544,-0.31558004,0.027133327,-0.022298325,-0.105692364,-0.1630444,-0.33143985,-0.1652886,-0.18746515,-0.45467937
-0.8175442,-0.81015575,-0.6262893,-0.23983383,0.9520586,0.38458797,-0.061736006,-0.627619,-0.8705386,-0.76113266
0.7572217,0.7102568,0.44217375,0.9227498,1.0738142,1.3592966,1.1010269,0.5318763,0.37363088,0.39657983
-1.0293133,-1.1131513,-1.3073813,-1.1859081,-0.5783405,-0.50803995,-0.7583221,-1.1156344,-1.175482,-1.1867623
-0.30588743,-0.43243033,-0.46559414,-0.27472162,-0.16149698,0.020354735,0.03471437,-0.19097362,-0.67537475,-0.4036038
0.30667946,0.251008,0.4666505,0.34402323,0.41599616,0.32943997,0.40622693,0.52453774,0.3126422,0.3625295
0.06079994,0.23877949,0.0005281713,0.03311166,0.07609537,0.18836373,0.24726243,0.0401916,0.21506026,0.022025807
-0.5006013,-0.4365065,-0.015434922,0.26706493,0.093005866,-0.02196814,-0.17068921,-0.39278454,-0.4436177,-0.43765417
0.6591541,0.7618883,1.1392288,1.2439225,1.1592121,1.0104535,1.0027905,0.7997344,0.45901507,0.5838569
-0.7550084,-0.769394,-0.79017705,-0.852422,-0.5512837,-0.29257804,-0.28321466,-0.4661703,-0.614386,-0.8122082
0.7970172,0.6871585,0.6560792,0.9884209,1.2175533,1.3362113,1.0456573,0.70433295,0.78835404,0.78815913
2.4456892,2.5825791,2.7312813,2.3346782,2.0461671,2.0172248,2.0030165,2.2491035,2.5936196,2.6609292
0.7685918,0.8977608,0.6592718,0.6138904,0.3407445,0.5615745,0.7134392,0.6566322,0.6785744,0.7200584
-0.13107136,-0.0098670665,-0.02714119,0.01874611,0.20123298,0.33713505,0.52589685,0.08055378,-0.16306967,-0.080125295
-0.112594865,-0.25443745,-0.48155725,-0.8544742,-1.3240931,-1.5404617,-1.2995158,-0.89180785,-0.28504708,-0.14822604
-0.61856663,-0.5221061,-0.09418618,0.07312999,-0.010993639,0.03317985,-0.17247532,-0.2753673,-0.33383805,-0.36955345
0.63215005,0.6627015,0.75505036,0.80577314,0.44981718,0.69110817,0.7670228,0.99420685,0.78835404,0.8222095
-1.2638227,-1.2300016,-1.0934758,-0.8534481,-0.4041625,-1.2082912,-1.3656023,-1.6036499,-1.3950415,-1.3740393
-0.33289155,-0.23677404,-0.17400165,-0.14748386,0.21053375,0.219144,0.24190408,0.12825453,-0.07768548,-0.09715048
-0.70526403,-0.6430326,-0.60394096,-0.29626995,0.42698798,0.17810364,0.0668645,-0.5689104,-0.55339736,-0.607906
-0.5531882,-0.44058266,-0.39961335,-0.39888102,-0.13866782,-0.51573503,-0.6565134,-0.6789891,-0.71196795,-0.7100571
5.040926,4.7117,3.978531,3.3741286,2.768245,1.9325792,1.8190464,2.091324,2.532631,2.541753
0.032374565,-0.046552625,0.108013,0.011563335,-0.39232513,-0.0399233,0.09365627,0.28970325,0.044291917,0.039050993
-1.6489865,-1.5275621,-1.7277427,-2.157635,-2.5991437,-2.5754483,-2.5337234,-2.2567835,-1.7975668,-1.714543
0.03379583,0.045840632,0.028197533,-0.08489109,0.021981811,0.017789712,0.10794522,0.16861671,0.080885135,-0.01202456
0.7927534,0.9711319,0.6475655,0.96379423,1.0163184,1.0874041,1.147466,0.7116715,0.6541789,0.7200584
-0.49633747,-0.5139538,-0.12824078,0.1777933,0.5284509,-0.0399233,-0.25106454,-0.65330404,-0.80954987,-0.62493116
0.1816078,0.10970067,0.29212067,0.09159998,0.17840382,0.40639067,0.4937467,0.8437659,0.8615405,0.9243606
0.82402134,0.8094437,0.6848127,0.5112793,0.56058085,0.46282116,0.62591946,0.7410258,0.70296985,0.8903102
-0.8942928,-0.90662515,-0.8976619,-0.70774037,-0.084554255,-0.077116124,-0.25106454,-0.550564,-0.6265838,-0.98246
0.8268639,0.76732326,0.51241136,0.7965382,0.87004274,0.9155476,0.87240374,0.68598646,0.7151676,0.4306302
-0.024476193,-0.10497777,-0.31660527,-0.15158829,-0.11245656,0.028049804,0.11151745,-0.06621779,-0.04109226,0.039050993
-0.7834338,-0.729991,-0.38577867,-0.06231665,0.57749134,0.32430995,0.03292825,-0.45149317,-0.72416574,-0.62493116
0.4829168,0.40182644,0.15590228,0.23217717,0.36357364,0.51925164,0.513394,0.2383332,0.30044445,0.46468058
0.9547781,0.85156417,0.56455743,0.59336823,0.50393075,0.6641754,0.7491616,0.59425426,0.66637665,0.4306302
0.124757044,0.03497084,-0.1665522,-0.64412147,-1.1981099,-1.2121388,-1.0958984,-0.33040664,0.43461958,0.48170575
-1.1359085,-1.0982053,-1.1105031,-0.6728526,-0.29678088,-0.8479055,-1.09054,-1.3284532,-1.5292165,-1.2037874
0.743009,0.6790062,1.0051388,1.0007342,1.0213916,0.7898615,0.8116757,0.6896558,0.6785744,0.39657983
0.7003709,0.6844411,0.33788154,0.71137094,0.78549033,0.9719781,0.9295596,0.5098606,0.5322015,0.873285
0.06222121,0.029535942,-0.23359719,-0.09104775,0.081168525,0.23838167,0.2740542,0.106238805,0.019896436,0.10715173
-0.83175695,-0.8047208,-0.8806346,-0.66259146,0.07863195,-0.0514659,-0.34572878,-0.6716505,-0.9315273,-0.8122082
-0.84454834,-0.82781917,-1.1030536,-1.111002,-0.6721937,-0.6401386,-0.66365784,-0.8734614,-0.85834086,-0.9143593
-1.7186286,-1.7137073,-1.8352275,-2.2746117,-2.755566,-2.6434212,-2.739127,-2.3191614,-1.8463577,-1.7826438
-1.5864506,-1.6430537,-1.889502,-2.3443873,-2.7454195,-2.6254663,-2.6676824,-2.3191614,-1.9439396,-1.6804926
4.677081,4.8040934,4.144547,3.5157318,2.7775457,2.684131,2.5727882,3.1113865,3.3620772,3.546239
-0.26467064,-0.39574477,-0.6475734,-1.1140803,-1.3655237,-1.3108921,-1.24236,-0.8110835,-0.29724482,-0.11417566
