Model,Band_Selection,N_Bands,OA,AA,Kappa
SVM,PCA Loadings,8,0.8862,0.8949,0.8767
SVM,Mutual Information,8,0.7487,0.7571,0.7279
SVM,K-Means Clustering,8,0.9467,0.9533,0.9422
SVM,Laplacian Score,8,0.8636,0.8723,0.8523
SVM,Genetic Algorithm,8,0.9579,0.9632,0.9544
SVM,QPSO,8,0.9631,0.9672,0.96
SVM,Quantum Amplitude (Qiskit),8,0.8308,0.8457,0.8168
Random Forest,PCA Loadings,8,0.8738,0.8826,0.8633
Random Forest,Mutual Information,8,0.72,0.7282,0.6968
Random Forest,K-Means,8,0.9128,0.9245,0.9056
Random Forest,Laplacian Score,8,0.8369,0.8465,0.8234
Random Forest,Genetic Algorithm,8,0.9303,0.9377,0.9245
Random Forest,QPSO,8,0.9231,0.9337,0.9167
Random Forest,Quantum (Qiskit),8,0.8164,0.827,0.8012
XGBoost,PCA Loadings,8,0.881,0.8893,0.8711
XGBoost,Mutual Information,8,0.7056,0.714,0.6812
XGBoost,K-Means,8,0.9108,0.9237,0.9034
XGBoost,Laplacian Score,8,0.8277,0.8378,0.8134
XGBoost,Genetic Algorithm,8,0.9241,0.9335,0.9178
XGBoost,QPSO,8,0.9333,0.9415,0.9278
XGBoost,Quantum (Qiskit),8,0.8123,0.8185,0.7966
LightGBM,PCA Loadings,8,0.8862,0.8932,0.8767
LightGBM,Mutual Information,8,0.7138,0.7179,0.6898
LightGBM,K-Means,8,0.9087,0.9221,0.9012
LightGBM,Laplacian Score,8,0.8144,0.8279,0.7989
LightGBM,Genetic Algorithm,8,0.9251,0.9352,0.9189
LightGBM,QPSO,8,0.9303,0.9385,0.9245
LightGBM,Quantum (Qiskit),8,0.8062,0.8139,0.79
KNN,PCA Loadings,8,0.8533,0.8622,0.8411
KNN,Mutual Information,8,0.6964,0.71,0.6714
KNN,K-Means,8,0.9138,0.9265,0.9067
KNN,Laplacian Score,8,0.8185,0.8331,0.8035
KNN,Genetic Algorithm,8,0.9344,0.9435,0.9289
KNN,QPSO,8,0.921,0.9322,0.9145
KNN,Quantum (Qiskit),8,0.7928,0.8019,0.7756


Model,Band_Selection,N_Bands,OA,AA,Kappa
KNN,PCA Loadings,8,0.8533,0.8622,0.8411
KNN,Mutual Information,8,0.6964,0.71,0.6714
KNN,K-Means,8,0.9138,0.9265,0.9067
KNN,Laplacian Score,8,0.8185,0.8331,0.8035
KNN,Genetic Algorithm,8,0.9344,0.9435,0.9289
KNN,QPSO,8,0.921,0.9322,0.9145
KNN,Quantum (Qiskit),8,0.7928,0.8019,0.7756


Model,Band_Selection,N_Bands,OA,AA,Kappa
LightGBM,PCA Loadings,8,0.8862,0.8932,0.8767
LightGBM,Mutual Information,8,0.7138,0.7179,0.6898
LightGBM,K-Means,8,0.9087,0.9221,0.9012
LightGBM,Laplacian Score,8,0.8144,0.8279,0.7989
LightGBM,Genetic Algorithm,8,0.9251,0.9352,0.9189
LightGBM,QPSO,8,0.9303,0.9385,0.9245
LightGBM,Quantum (Qiskit),8,0.8062,0.8139,0.79


Model,Band_Selection,N_Bands,OA,AA,Kappa
Random Forest,PCA Loadings,8,0.8738,0.8826,0.8633
Random Forest,Mutual Information,8,0.72,0.7282,0.6968
Random Forest,K-Means,8,0.9128,0.9245,0.9056
Random Forest,Laplacian Score,8,0.8369,0.8465,0.8234
Random Forest,Genetic Algorithm,8,0.9303,0.9377,0.9245
Random Forest,QPSO,8,0.9231,0.9337,0.9167
Random Forest,Quantum (Qiskit),8,0.8164,0.827,0.8012


Model,Band_Selection,N_Bands,OA,AA,Kappa
XGBoost,PCA Loadings,8,0.881,0.8893,0.8711
XGBoost,Mutual Information,8,0.7056,0.714,0.6812
XGBoost,K-Means,8,0.9108,0.9237,0.9034
XGBoost,Laplacian Score,8,0.8277,0.8378,0.8134
XGBoost,Genetic Algorithm,8,0.9241,0.9335,0.9178
XGBoost,QPSO,8,0.9333,0.9415,0.9278
XGBoost,Quantum (Qiskit),8,0.8123,0.8185,0.7966


0,1,2,3,4,5,6,7
1.1237772,1.2828966,0.5321448,1.0739552,1.646898,1.6386425,1.7079905,1.7693433
0.24039444,0.16654435,-0.9503438,-0.7574751,0.1272094,0.07378512,0.939734,0.9871696
-0.18068837,-0.40919122,0.5014895,0.30068457,-0.014875299,-0.22550456,-0.20371744,-0.12765236
0.78958446,0.70503265,0.39848787,0.8062022,1.4306821,1.3992108,1.5829256,1.3737612
1.036887,1.0711195,0.76389855,1.2453171,1.5357012,1.4419664,1.7079905,1.6614572
-0.28985798,-0.18890053,-0.5027769,-0.2498155,0.23222852,0.013927184,0.20721042,0.11509114
0.398579,0.36980772,0.3555705,0.65840256,0.5472859,0.71512014,0.4484072,0.38480613
-0.6652678,-0.71781105,0.57015735,-0.048465263,-0.7129436,-0.68726575,-0.9094414,-1.0267024
-0.91368437,-1.0413297,-0.062567316,-1.0744946,-1.3677688,-1.47397,-1.3025028,-1.4312749
-0.43356085,-0.29957798,-0.049079,0.18715733,-0.11371683,-0.04593075,-0.19478422,-0.2535194
0.628058,0.5964836,0.46715567,0.5834317,0.6461274,0.50989294,0.23401007,0.46572062
0.79626834,0.7284452,1.2274061,1.2174708,0.73879135,0.9716541,0.7164036,0.6185591
0.46430358,0.38789922,0.21333006,0.5877158,0.8252777,0.7578758,0.6985372,0.9062551
-0.58506155,-0.6582155,-1.6922011,-1.4000822,-0.53997093,-0.5247942,0.15361114,0.45673013
-0.10048212,0.012234439,0.7553151,0.4656204,-0.13842721,-0.13999322,-0.10545208,-0.15462387
0.14013663,0.30595535,-0.19867669,-0.19412287,0.09632142,0.022478318,0.1357447,0.23196764
2.911708,2.7195752,1.895691,1.9329066,2.134928,1.9635856,2.4941132,2.4975739
0.9366293,0.9817263,0.57874084,1.0075524,1.3194853,1.3051484,1.2791963,1.0950557
-0.070404775,-0.00479286,-0.22933196,0.3199628,0.34960282,0.20205212,-0.123318516,-0.18159537
0.78290063,0.6826843,-0.5665399,-0.43831357,0.3990236,0.39017707,1.0558658,1.0950557
0.97004855,0.87530565,-0.2918687,-0.1962649,0.73879135,0.72367126,1.4935933,1.5715523
1.501415,1.4840317,0.9895213,1.4123949,1.8260483,1.8096652,1.9938533,1.8772292
-0.74658805,-0.73803097,-0.375251,-0.29694003,-0.4349518,-0.5675499,-0.7129107,-0.6760729
0.89541215,0.9721484,0.7332433,0.7076691,0.74496895,0.92034733,0.5466726,0.5286541
0.15016241,0.28892806,-0.6854823,-0.69321436,-0.20638077,-0.31101587,0.02854613,-0.0017853671
-0.0057941824,0.03671118,0.6510872,0.37779742,-0.05811847,-0.13999322,-0.40024817,-0.3074624
-0.47032204,-0.39748496,0.077220686,0.028647587,-0.2743343,-0.41362947,-0.37344852,-0.3703959
-0.13278742,0.06331634,-0.43043047,0.20643555,0.19516295,0.14219418,-0.07865244,-0.12765236
-0.29208595,-0.44537422,0.11032837,0.1657371,-0.20638077,-0.14854436,-0.1769178,-0.14563337
-1.5954374,-1.6277072,-2.4352846,-2.4882302,-2.0287714,-2.0383449,-1.7044975,-1.7369518
-1.1498471,-1.1009252,-1.8025601,-1.9441562,-1.5283862,-1.6107882,-1.2131706,-1.3413699
0.0008896715,-0.12611237,0.41074997,0.4656204,0.20751813,0.25335893,0.24294329,0.17802463
-0.4357888,-0.42941114,-1.3942319,-1.2629926,-0.60792446,-0.6530613,-0.09651887,-0.14563337
0.65367943,0.39322028,0.7700296,0.70552707,0.5781739,0.53554636,0.36800826,0.21398664
1.0457989,1.1605129,0.976033,1.15321,0.99207276,0.90324503,0.41267434,0.6185591
-0.7321063,-0.7082332,-0.38383448,-0.32050228,-0.4287742,-0.42218062,-0.54317963,-0.5412154
-0.7443601,-0.8146538,-0.0073878434,-0.33549646,-0.53997093,-0.7129192,-0.7933096,-0.7390064
-0.29542786,-0.1995426,-0.508908,-0.1062999,0.016012678,0.14219418,-0.007186727,-0.19957636
-0.5794917,-0.6539587,-0.32988122,-0.20911704,-0.36699826,-0.5247942,-0.54317963,-0.4692914
-1.752508,-1.8639611,-2.6265736,-2.6038997,-2.0287714,-2.2008164,-1.8027627,-1.7369518
-0.21744958,-0.29425696,0.39971408,0.35851923,0.04072306,0.15074532,-0.007186727,0.08811963
-0.28985798,-0.2708444,0.6829687,-0.0120508615,-0.62027967,-0.70436805,-0.90050817,-0.7479969
1.1828179,1.2669336,0.75899374,0.8726049,0.9673624,1.0400631,1.0201329,1.0231316
-0.52713484,-0.41876906,0.25747365,-0.1427143,-0.53379333,-0.55899876,-0.42704782,-0.8648734
-1.795953,-1.8756673,-2.7197657,-2.738847,-2.1152577,-2.055447,-1.892095,-1.8358474
1.1382589,1.1232657,0.6768376,1.1210797,1.46157,1.5274779,1.4935933,1.6794382
0.80518013,0.87636983,0.6008126,0.90473527,0.8252777,0.92889845,0.48414004,0.51966363
-0.9036586,-0.9593859,0.095613845,-0.28194585,-0.78707474,-0.8240839,-0.86477536,-1.0356929
0.8385994,0.9721484,0.49781093,0.8704629,1.0044279,0.99730754,0.439474,0.6814926
0.5077486,0.56987846,-0.5628612,-0.44688168,0.22605093,0.13364306,0.6538711,0.58259714
0.020941233,0.07502261,-0.38873932,0.050067827,0.13338698,0.06523398,0.03747935,0.052157637
