Model,Band_Selection,N_Bands,OA,AA,Kappa
SVM,PCA Loadings,6,0.8226,0.8295,0.8077
SVM,Mutual Information,6,0.7374,0.7483,0.7158
SVM,K-Means Clustering,6,0.9251,0.9339,0.9189
SVM,Laplacian Score,6,0.8585,0.8698,0.8467
SVM,Genetic Algorithm,6,0.9487,0.9537,0.9445
SVM,QPSO,6,0.9528,0.9579,0.9489
SVM,Quantum Amplitude (Qiskit),6,0.8236,0.8392,0.8091
Random Forest,PCA Loadings,6,0.8154,0.8254,0.8
Random Forest,Mutual Information,6,0.6985,0.7098,0.6734
Random Forest,K-Means,6,0.8995,0.9115,0.8911
Random Forest,Laplacian Score,6,0.8277,0.8388,0.8134
Random Forest,Genetic Algorithm,6,0.919,0.9285,0.9123
Random Forest,QPSO,6,0.919,0.9292,0.9123
Random Forest,Quantum (Qiskit),6,0.8072,0.8204,0.7913
XGBoost,PCA Loadings,6,0.8215,0.8288,0.8066
XGBoost,Mutual Information,6,0.6831,0.696,0.6567
XGBoost,K-Means,6,0.8903,0.9023,0.8811
XGBoost,Laplacian Score,6,0.8144,0.8234,0.7989
XGBoost,Genetic Algorithm,6,0.919,0.9279,0.9122
XGBoost,QPSO,6,0.9221,0.9313,0.9156
XGBoost,Quantum (Qiskit),6,0.8103,0.8182,0.7945
LightGBM,PCA Loadings,6,0.8185,0.827,0.8033
LightGBM,Mutual Information,6,0.6749,0.6828,0.6477
LightGBM,K-Means,6,0.8851,0.8991,0.8756
LightGBM,Laplacian Score,6,0.8,0.8146,0.7834
LightGBM,Genetic Algorithm,6,0.9251,0.9328,0.9189
LightGBM,QPSO,6,0.9231,0.9316,0.9167
LightGBM,Quantum (Qiskit),6,0.7938,0.8023,0.7767
KNN,PCA Loadings,6,0.8062,0.8138,0.79
KNN,Mutual Information,6,0.681,0.6955,0.6546
KNN,K-Means,6,0.8872,0.9031,0.8779
KNN,Laplacian Score,6,0.8287,0.8416,0.8145
KNN,Genetic Algorithm,6,0.9221,0.9337,0.9156
KNN,QPSO,6,0.9138,0.9249,0.9067
KNN,Quantum (Qiskit),6,0.7867,0.8022,0.769


Model,Band_Selection,N_Bands,OA,AA,Kappa
KNN,PCA Loadings,6,0.8062,0.8138,0.79
KNN,Mutual Information,6,0.681,0.6955,0.6546
KNN,K-Means,6,0.8872,0.9031,0.8779
KNN,Laplacian Score,6,0.8287,0.8416,0.8145
KNN,Genetic Algorithm,6,0.9221,0.9337,0.9156
KNN,QPSO,6,0.9138,0.9249,0.9067
KNN,Quantum (Qiskit),6,0.7867,0.8022,0.769


Model,Band_Selection,N_Bands,OA,AA,Kappa
LightGBM,PCA Loadings,6,0.8185,0.827,0.8033
LightGBM,Mutual Information,6,0.6749,0.6828,0.6477
LightGBM,K-Means,6,0.8851,0.8991,0.8756
LightGBM,Laplacian Score,6,0.8,0.8146,0.7834
LightGBM,Genetic Algorithm,6,0.9251,0.9328,0.9189
LightGBM,QPSO,6,0.9231,0.9316,0.9167
LightGBM,Quantum (Qiskit),6,0.7938,0.8023,0.7767


Model,Band_Selection,N_Bands,OA,AA,Kappa
Random Forest,PCA Loadings,6,0.8154,0.8254,0.8
Random Forest,Mutual Information,6,0.6985,0.7098,0.6734
Random Forest,K-Means,6,0.8995,0.9115,0.8911
Random Forest,Laplacian Score,6,0.8277,0.8388,0.8134
Random Forest,Genetic Algorithm,6,0.919,0.9285,0.9123
Random Forest,QPSO,6,0.919,0.9292,0.9123
Random Forest,Quantum (Qiskit),6,0.8072,0.8204,0.7913


Model,Band_Selection,N_Bands,OA,AA,Kappa
XGBoost,PCA Loadings,6,0.8215,0.8288,0.8066
XGBoost,Mutual Information,6,0.6831,0.696,0.6567
XGBoost,K-Means,6,0.8903,0.9023,0.8811
XGBoost,Laplacian Score,6,0.8144,0.8234,0.7989
XGBoost,Genetic Algorithm,6,0.919,0.9279,0.9122
XGBoost,QPSO,6,0.9221,0.9313,0.9156
XGBoost,Quantum (Qiskit),6,0.8103,0.8182,0.7945


0,1,2,3,4,5
1.1871691,1.2828966,0.7836108,0.73137677,0.60747325,1.6315719
0.4439469,0.16654435,-0.63981,-0.9190869,-0.9797522,-0.07270527
-0.080520734,-0.40919122,-0.061295208,0.17671278,0.4279502,-0.13689649
0.8216722,0.70503265,0.5366559,0.14373733,0.38738492,1.198281
1.1246678,1.0711195,0.8967985,0.53183305,0.81720454,1.374807
-0.25851363,-0.18890053,-0.34140614,-0.58679575,-0.5326708,-0.02135228
0.47655627,0.36980772,0.34457982,0.30015934,0.3986051,0.63339823
-0.78433996,-0.71781105,0.16736677,0.6628893,0.5936638,-0.6632646
-1.0411389,-1.0413297,-0.29681703,-0.023676505,-0.2314518,-1.2730813
-0.28432938,-0.29957798,-0.20306565,0.101461105,0.03610662,0.010743336
0.5730257,0.5964836,0.55266225,0.37794757,0.41673002,0.5884644
0.80129135,0.7284452,1.0568619,1.297878,1.2582444,0.90942055
0.689876,0.38789922,0.23825198,0.16318439,0.18369529,0.774619
-0.3237324,-0.6582155,-1.4458435,-1.653002,-1.7202848,-0.72424626
-0.3522656,0.012234439,0.5743851,0.9579773,0.8111629,-0.018142719
0.044481907,0.30595535,0.122777686,-0.12344838,-0.15981519,0.010743336
2.9045968,2.7195752,2.3053563,2.0689964,1.9383606,2.0423958
0.94123995,0.9817263,0.7344485,0.36272812,0.5729496,1.323454
-0.0900318,-0.00479286,-0.07730155,-0.3593497,-0.23576725,0.27392736
0.8923259,0.6826843,-0.14475684,-0.44897527,-0.5999919,0.26429868
1.0757537,0.87530565,0.039316062,-0.27564278,-0.38939756,0.45687237
1.7320176,1.4840317,1.1471834,0.7212305,0.93458503,1.7856308
-0.7286323,-0.73803097,-0.5860745,-0.23674867,-0.12874389,-0.48673868
0.65319043,0.9721484,0.9939799,0.75082386,0.72053826,0.84843886
0.056710426,0.28892806,-0.39285508,-0.6062428,-0.6414203,-0.35193712
-0.12264119,0.03671118,0.5446591,0.6290683,0.5962531,-0.07591483
-0.50036657,-0.39748496,-0.21106882,0.2122248,0.20786186,-0.22355466
-0.05470497,0.06331634,-0.24651143,-0.3035451,-0.33588588,0.29639432
-0.1674791,-0.44537422,-0.21106882,-0.030440701,0.0689041,-0.10159132
-1.5316383,-1.6277072,-2.240444,-2.4503314,-2.5333173,-2.146082
-1.1797287,-1.1009252,-1.6047636,-1.8051964,-1.8937663,-1.5908278
0.14366879,-0.12611237,0.059895642,0.13443656,0.40378365,0.306023
-0.291123,-0.42941114,-1.1405798,-1.391735,-1.429423,-0.80127573
0.65998405,0.39322028,0.56866854,0.4438985,0.5919376,0.55957836
0.8760212,1.1605129,1.2180686,1.1904964,1.0726798,0.9832405
-0.67835945,-0.7082332,-0.63409346,-0.2697241,-0.24439816,-0.4193379
-0.68515307,-0.8146538,-0.4637403,-0.18009852,-0.109755866,-0.47711
-0.3984622,-0.1995426,-0.33225965,-0.52169037,-0.46017107,0.058886755
-0.58189,-0.6539587,-0.5026128,-0.21730159,-0.22713633,-0.4450144
-1.6987613,-1.8639611,-2.4279468,-2.6786232,-2.6645072,-2.2006445
-0.073727116,-0.29425696,-0.06586845,0.29424065,0.2967603,0.14875448
-0.5288997,-0.2708444,0.40288863,0.8007098,0.66271114,-0.5220439
0.96297956,1.2669336,1.1334636,0.8108561,0.72053826,1.0185456
-0.67835945,-0.41876906,0.15822029,0.32721612,0.30107576,-0.5188343
-1.71099,-1.8756673,-2.5628574,-2.7860048,-2.767215,-2.277674
1.3339113,1.1232657,0.80990696,0.4371343,0.6325029,1.4101121
0.57438445,0.87636983,0.83048654,0.39401254,0.5453307,0.9511449
-0.80064464,-0.9593859,-0.3745621,0.15726572,0.03438044,-0.80769485
0.59340656,0.9721484,0.758458,0.3407445,0.40550983,0.9190492
0.6178636,0.56987846,-0.11274415,-0.46165812,-0.5404386,0.013952896
-0.13758716,0.07502261,-0.107027605,-0.39486173,-0.27115402,0.20010746
-0.89847285,-0.6422524,-0.03614239,0.22913527,0.10256468,-0.95212513
-0.31558004,0.027133327,-0.015562814,-0.105692364,-0.19692813,-0.20429729
-0.81015575,-0.6262893,0.16736677,0.9520586,0.72485375,-0.58944464
0.7102568,0.44217375,1.0419989,1.0738142,1.3083037,0.4793393
-1.1131513,-1.3073813,-0.96908325,-0.5783405,-0.7182355,-1.106184
-0.43243033,-0.46559414,-0.22250192,-0.16149698,-0.069190554,-0.34230843
0.251008,0.4666505,0.35944286,0.41599616,0.275183,0.62056
0.23877949,0.0005281713,0.040459372,0.07609537,0.17506437,0.14233536
-0.4365065,-0.015434922,0.24282522,0.093005866,0.083576664,-0.41612834
0.7618883,1.1392288,1.1906291,1.1592121,0.95616233,0.9158397
-0.769394,-0.79017705,-0.76900405,-0.5512837,-0.5326708,-0.41291878
0.6871585,0.6560792,1.1391802,1.2175533,1.3143454,0.8002955
2.5825791,2.7312813,2.1887388,2.0461671,1.9487176,2.238179
0.8977608,0.6592718,0.5640953,0.3407445,0.47196788,0.6847513
-0.0098670665,-0.02714119,0.123921,0.20123298,0.17420128,0.1712214
-0.25443745,-0.48155725,-1.1051371,-1.3240931,-1.383679,-1.0419928
-0.5221061,-0.09418618,0.07704529,-0.010993639,0.022297153,-0.32305107
0.6627015,0.75505036,0.6887161,0.44981718,0.5651818,0.99928826
-1.2300016,-1.0934758,-0.6283769,-0.4041625,-0.6845749,-1.5619417
-0.23677404,-0.17400165,-0.04300225,0.21053375,0.2665521,0.06530588
-0.6430326,-0.60394096,0.0004435254,0.42698798,0.3554505,-0.5188343
-0.44058266,-0.39961335,-0.34254944,-0.13866782,-0.27805874,-0.68894106
4.7117,3.978531,3.1662686,2.768245,2.3526444,2.0680723
-0.046552625,0.108013,-0.089877956,-0.39232513,-0.15204737,0.43119588
-1.5275621,-1.7277427,-2.3582048,-2.5991437,-2.6515608,-2.2712548
0.045840632,0.028197533,-0.068155065,0.021981811,-0.063148916,0.20331702
0.9711319,0.6475655,1.0419989,1.0163184,1.0778582,0.8580676
-0.5139538,-0.12824078,0.35029638,0.5284509,0.4702417,-0.6536359
0.10970067,0.29212067,0.10791466,0.17840382,0.09048139,0.8580676
0.8094437,0.6848127,0.57324183,0.56058085,0.5090808,0.7553616
-0.90662515,-0.8976619,-0.44430402,-0.084554255,-0.13392244,-0.5477204
0.76732326,0.51241136,0.84191966,0.87004274,0.9898229,0.6943799
-0.10497777,-0.31660527,-0.18019944,-0.11245656,0.039558988,0.052467633
-0.729991,-0.38577867,0.14564389,0.57749134,0.46420005,-0.5027865
0.40182644,0.15590228,0.33771995,0.36357364,0.4408966,0.35095686
0.85156417,0.56455743,0.55380553,0.50393075,0.6868777,0.5948835
0.03497084,-0.1665522,-0.88333505,-1.1981099,-1.270614,-0.42896658
-1.0982053,-1.1105031,-0.48203325,-0.29678088,-0.36005244,-1.2987578
0.6790062,1.0051388,1.0923045,1.0213916,0.7697345,0.6558652
0.6844411,0.33788154,0.80990696,0.78549033,0.97256106,0.5659975
